ref,coverage,content
60 - 61,0.17%,zero_R_1gFJguu6xFQUHYc : my location is safe my health is good and i have access to good healthcare all of the time.
62,0.17%,"zero_R_3iOK6XGuOfX9Ty2 : I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
63 - 64,0.16%,zero_R_2Ez2KE0Z9JvPQ6k : New Martinsville is not really a place for young people because there is nothing to do.
65 - 66,0.08%,zero_R_2agkKyecJv9mKzQ : There is nothing to do here.
67 - 68,0.08%,zero_R_2ql09Ac6O87qs9H : There is nothing to do here.
69 - 71,0.28%,"zero_R_3qJNtp31Xle0DBN : I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
72 - 73,0.75%,"zero_R_2D6LcpvKBxfadOr : I live on the outskirts of the country where it is very quiet but I have always enjoyed a rich lifestyle and both of my parents are married while my mom stayed home to raise both myself and my brother. Our location is safe with a large supportive community with hospitals, grocery stores, drug stores, gas stations and so much more within a 10 minute radius of my home. There has never been a fear in my family of sickness being a life threatening issue or of our home being separated. I have lived a happy life so far."
74,0.16%,"zero_R_DNKNQdNLno9d6Vz : i live in a small town with lots of nature, which helps me calm down when i am stressed"
75 - 76,0.79%,zero_R_3L7LnKACywaDTgv : I live in a very wealthy neighborhood. I have always had access to anything and everything I needed as a child. I never felt unsafe walking to the local town or biking to my workplace. I do feel isolated from my peers as i live very far from my current school. This strains my relationships with friends as i have to rely on calling and facetime when i need someone to talk to. However living at home strains my relationship with my parents as we have very different lifestyles. I have never worried about not having access to health care services.
77 - 79,0.47%,"zero_R_Ad4PfNzlwf2vE09 : My location makes me a bit more self conscious about my personal life such as social status and financial status even though me and my family are in good standing, we live in a predominantly upper class area and it can make me feel self conscious however, going into college it was the complete opposite experience."
80,0.15%,zero_R_b2BtrUnL4eMbWO5 : I am grateful to have grew up in a location where I am provided with opportunities.
81,0.34%,"zero_R_2aQOwm6G74IWC6R : My location, being in an extremely safe, suburban town has impacted me positively. I do not feel my safety is ever threatened. My community has a very good education system, as well as many local healthcare resources."
82,0.28%,"zero_R_cvkyyvL4yuV7okx : Here in Italy health services are free, and they work; Italy is a very safe coutry; people here is quite openminded and willing to support each other, at least people i know"
83,0.10%,zero_R_BGmCVeeXlO4jcl3 : Always safe and surrounded by good resources
84,0.77%,"zero_R_3Mz0cDPMpYXDnwl : My place of residence influences me in the way that I can be free, geographically but also as a person. I can go anywhere without limits, I can develop freely, I can enjoy nature. I can ride my bike alone at three o&amp;#39;clock in the morning without fear. My place of residence allows me to have many relationships and to be healthy. Mentally, because I can go to the sea or the forest, geographically, because I can see a doctor when I&amp;#39;m sick. My place of residence is part of my identity and often makes me feel good."
85 - 86,0.49%,"zero_R_z70MceS9jhOIJMZ : In my place of residence there is everything I need to live (supermarkets, drugstores, clothing / book stores, ...). There is also a relatively high standard of living where I live. Health care is also guaranteed (pharmacies, specialists, ...). General practitioners have no capacity to admit new patients. That is problematic."
87 - 88,0.39%,"zero_R_2dLuTCQfw17lJow : I grew up in the country, a family home on a play street. I would put everyone in the estate into the upper middle class. In addition, there is a nearby forest and I have never lacked exercise and fresh air. I get a lot of support from my family and friends."
89,0.65%,"zero_R_3mmhlXgsFmvXj8N : My place of residence means that I have access to all doctors / hospitals / .. at all times. That&amp;#39;s why I never feel scared. Since my family and my boyfriend and my friends all live in a very small radius (about 2 km radius), I am very happy and I think that contributes a lot to my well-being. I think it&amp;#39;s not about the city of SaarbrÅcken per se, but that I live in Germany (= safe, good care) and close to my loved ones :)"
90 - 92,0.49%,zero_R_3j8zEbN55Xyez1H : I feel pretty safe where I live. I am glad to have a beautiful park close by and to be able to enjoy the sun undisturbed. Unfortunately we have neither a garden nor a balcony in our apartment. We have many shops and doctors in our vicinity and we live close to the center. I feel accepted as a person here and can live out freely.
93,0.13%,zero_R_2DNcSPCBCQKzbUP : Raised up in the country as a result of a quiet happy childhood.
94,0.76%,"zero_R_so0TmxJPoen73yN : I am privileged when it comes to where I live, both because of the location and the internal structure. I can meet a multitude of friends in a very short time and everything I need can be easily reached by bike, on foot or by public transport. The fact that many places can be reached on foot is particularly good for my health and encourages me to move around a lot. I have the freedom to move where I want and whenever I want. Nothing stands in the way of a visit from friends. All of this has a positive effect on me."
95,0.36%,"zero_R_2wprNTMBTH61GdF : Row of homes, terraced houses with their own garden, safe area, good access to ôPNV, elementary school, playground, forest, restaurants and snack bars in the immediate vicinity, a few friends in the neighborhood - but little contact"
96,0.30%,"zero_R_2fCzKSu9nYUbv2S : I like my place of residence because it is close to all places I can reach. (Work, university, train station). Other people (friends) can also reach it easily because it is centrally located."
97,0.35%,"zero_R_RE13FJ5r4YI6T05 : I moved 5 years ago with my wife. We live in a large apartment in the city center, have a balcony and terrace and are very aware that we are privileged. As long as we both stay healthy, we&amp;#39;ll probably stay very happy too."
98,0.61%,"zero_R_1lsfsW5yLOxWizo : I consider my place of residence to be quite privileged and I always feel safe there. I&amp;#39;ve always wanted to live in a beautiful old town and that&amp;#39;s why I feel very comfortable there. That will probably help me find my balance at home and recharge my batteries. It&amp;#39;s a quiet environment, good for your mental health, yet not far from the hustle and bustle so you don&amp;#39;t feel left out."
99,0.24%,"all_R_1C2rRQ2ycLzAnu4 : I feel like I live in a healthy environment, that encourages growth and offers new opportunities.I am a healthy person and I have good relationships."
100,0.11%,all_R_1N9tBoWrlY4frEz : I have access to a lot of resources that a very close by
101,0.30%,"all_R_3J8cgJzTAtvjNGE : Since I live on campus, I have a large variety of resources that I am about to take advantage of. Additionally, I live in close quarters with many people, so I am always able to reach out."
102,0.35%,"all_R_9LBENKTOBaQRoXv : My living environment has little to do with my safety, health, and relationships. I grew up in a middle class/low-class neighborhood and was used to crime and bad things happening around. This has made me stronger in my opinion."
103,0.21%,"all_R_3KQ8xsW2v3oItqE : My location gives me a lot of opportunities to form nice friendships, start a life without worrying about my surroundings."
104,0.42%,all_R_1qW1vP0qE1Zq0CL : The environment I am in is unmatched. I have everything and anyone I need when I need them. I have all the resources to keep my emotional and social needs met. I love my life and everything I do. I have a great internal drive and motivation along with my peers cheering me on.
105,0.39%,all_R_2zvVcKPxYR1O3Vh : I live on campus and I feel more safe here than my home town. Here they have a police force in close proximity and they have security that patrols campus. I also have access to a hospital if needed and the school provides me with transportation to get around.
106,0.15%,"all_R_24qplP8YuyuNYYX : My location has provided me with new experiences, friendships, and new opportunities."
107,0.55%,"all_R_1dyjaT0kjUpxpzt : I think my location benefits me that I have a lot of resources around me, including therapists, doctors, and so much more. However, around me it is less common to talk about my problems as openly, leading my parents to not understand every aspect. This makes it hard to actually get help somewhere, especially if I am struggling with the motivation to do it on my own."
108,0.33%,"all_R_3L53fqr88Dr7UP6 : The university I live at is very open and helpful. Many different physical and emotional help options are available at all times. There are not many heavy stress factors, especially ones I cannot handle myself."
109,0.34%,all_R_3sBPSAFE5EOFbd2 : Carbondale Illinois is a very accepting and providing environment. I have full access to any resource I may need whenever I may need it. I am able to keep my life in check while owning up to all of my responsibilities.
110,0.70%,"all_R_3NNSHanMrDdJzE9 : I'm white, raised in a white neighborhood, but with a lot of liberal/left leaning people. This has led me to feel comfortable experimenting with gender and sexuality, but has left me lacking in education on racial issues. I live in a very safe neighborhood and do not experience violence, and it came as quite a shock when I was in a group of people with wildly different lives than me who live through fights at school, violence at home, and can still come out of it nonchalant."
111,1.24%,"all_R_DcwAYA2SpjwiCTD : I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
112,0.22%,"all_R_1d186U8zXt5VjGe : I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
113,0.58%,"all_R_2SdZYnSbftL2GBl : This week has been a bad couple of weeks for me and I actively seek out professional medical health via a therapy, so my answers are very honest but a bit more depressing than usual. I'm in a long-distance relationship with my fiance (I'm in NYC, he's in Maine), so that's a huge pressing factor on my happiness. Other than that, the stress I experience at work/school is also immaculate."
114,0.23%,"all_R_1QyBXYRDvILi4n5 : I have more privileges available for me than most, but my family is somewhat narrowminded and sometimes I don't feel safe confiding in them."
115,0.28%,all_R_3EbA0M6XRbxbuTM : Living in a nice neighborhood exposed me to the more beautiful aspects of childhood and humanity. I believe my upbringing has made me into the best person I could have been.
116,0.46%,all_R_27JzkeYZLZHZCQD : I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
117 - 118,0.59%,"all_R_yqq6tYRwjjms1Lr : The location in which I live in has very low crime rate so feeling unsafe has never been a problem. My mother works for my doctor so having availability to healthcare has always been easy as well. I grew up in not the wealthiest family, but we always found a way to make it work. Family and friends were always there if we needed help and we're always there if our friends and family need help."
119,0.43%,all_R_1pQCe16HliqpGNr : I live in what is mostly considered to be an upper middle class neighborhood. Most of the people there are like me and we rarely have any dangerous occurences. I feel safe there most likely because there a few people there who would discriminate against me for any part of my identity.
120,0.83%,"all_R_3KDE3UnwLBYQjlh : It doesn't effect much at all. I don't feel like my location has that large of an impact on me, and maybe that's because I don't think about it very much. It's not something I've given much thought. I have a doctor, and my family is always there to help me if I ever need it, I've never really felt like I had a reason to worry about anything. I've always been able to keep a smile on my face, well, most of the time anyway, and that's what I think is important. I think having a god reason to smile, and having a good reason to be happy, is what makes life truly meaningful."
121,0.22%,all_R_3qE6gOWpMkJ13SK : I do not have to worry too much about my safety or my health in my neighborhood due to minimal crime and nearby competent hospitals.
122,0.26%,"all_R_1gbUdILu0SIEyxy : My neighborhood is considered wealthy and safe; versus where I was raised. I feel at ease in my neighborhood, however, My friends and family live in other places."
1,6.05%,feel like I have resources every where. If there is something that I need then all I have to do it ask or figure something out
1,0.09%,all_R_2CEdQdxp4irP0JL : I live in a good environment with a good support group
1,0.19%,all_R_33g4RcoV7jlcbTe : I have A LOT of privilege living where I live. It is a safe neighborhood. I also feel like I have a lot of privilege in that both my partner and I can work from home.
2,0.25%,"all_R_AuKUQZyXdC9C5RD : My situation is unique in a few eays. I am privileged not to have to worry about housing, and I live in a safe area, so even though I have very little money, I feel more secure than most people in my financial situation."
3,2.86%,"all_R_3qNJFXcpF4ypx4n : Please consider that some of the phrasing of the survey and the image used to present the survey (the map filled with flags and other images) are somewhat problematic and offensive. For a group studying minority status as an impact in mental health, both your phrasing of minority issues and mental health issues is concerning. The phrasing ""Mentally unwell"" and ""Emotional disabled"" were confusing and don't really describe anything in particular. Would a person with an emotional illness, like Bipolar Disorder, be considered ""mentally unwell"" AND ""emotionally disabled?"" BPD is a disability under the DSM V, but I imagine may would ""self-identify"" as ""mentally unwell."" It just wasn't clear to me. Another offensive question was the one about suicide attempts. It came out of nowhere, and is likely triggering for a number of participants/potential participants. There was no warning in the consent form before the survey to talk about those issues, and no questions about a history of self-harm, or other examples of ways mental illness presents itself physically (e.g. eating disorders). Additionally on the long form page about family/friends/co-workers and whether sexual orientation is visible, two or three of the options were off the page and not even clickable. So I wanted to put N/A for some of them and simply could not. Your survey also seemed to teeter between focusing on Sexual Orientation and/or Gender Identity as minorities, and Racial and/or Ethnic Identity. Those are two very large and complex areas of research on their own (as four, independent areas of research). I feel very strongly, as an academic myself completing research currently on Critical Race Theory, that you are not gaining anything of actual substance from the survey you've launched. Overall your language and imagery is questionable at best for a group of academics, and I'm disappointed. You may want to add some trigger warning(s) to the consent page. Also you may want to add to your consent page that this survey is not IRB Approved. If it were, you would have stated it. Now to answer this actual question: As a multiracial, multiethnic, Cis-Hetero woman, I feel location plays an overt role in my relationships and my access to resources. The ability to be as educated as I am is a privilege, and places me in a socio-economic class that also directly impacts the same. Living in Connecticut, there is an abundance of wealth and a higher standard of living than where I grew up in the South. I feel much safer here than in some of the urban areas I've lived in the past, and I feel racism, sexism, and homophobia are far less common here in New England than they were in the South. That isn't to say it doesn't all exist, because it does. It is just much less blatant in the North East than it is in the South."
4,0.73%,"all_R_3k0NqZ04ofivcRe : Living in Britain and being a university student in an accepting department as an queer immigrant with depression and anxiety is definitely helping me feel supported compared to my peers in other parts of the world (America and Romania). I'm also middle class and both my parents have an annual income of &gt;?ú100k so I have medical insurance and can access private therapy at any time and buy medication when I need it. The greatest support has always come from my academic departments (my sixth form high school, university) who accommodate for mental illness and go the extra mile to meet my needs. The NHS long waiting times did lead to a suicide attempt and the counselling provided did not help."
5,0.22%,"all_R_2QM6fP9JgWMa399 : I feel very safe being queer and non-binary in Portland, Oregon. As soon as I leave Portland it definitely feels less safe. I also am white and a therapist - both grant me immense privilege."
6,0.14%,all_R_247eDSlbKYVyPrU : I have good access to universal healthcare and am backed up for any sickness from work due to depression by the law
7,0.55%,"all_R_eVUFaK9JHRM0O8p : I think that some of my rankings may seem inconsistent in the sense that I have a high quality of life, I think, but overall struggle with sadness, depression, anxiety, etc. Part of this is because I left an abusive relationship and am still reeling / recovering from that. I am lucky in the sense that I have the finances to support all of my ""new"" mental health needs, but part of the reason I was trapped was because I didn't always have the resources to support what I needed to escape and recover from the fallout."
8,0.40%,"all_R_2v7eLS1hxuR7unh : I think growing up in Missouri as a conservative state overall meant I had very little access to positive representation of LGBTQ+ people. However, I think I was very privileged otherwise and had access to resources for mental and physical health. I also believe my poor mental health comes from childhood experiences/traumas that are not gender/sexual orientation related"
9,1.91%,"all_R_2eXBZZiMB0KLL6F : Im an FTM transgender who live in the less open minded side of israel. I rarely go out of home and stuck with no job for 2 years now. My mother is my emotional support and is the sole reason i havent killed myself yet. I do have a circle of friends who are like a family to me but they live far away(in the tlv region which is 3 hours away on publoc transport.) My health is bad because i have mental issues and born physical issues (i am facing with weak immune system severe allergies to common things and I have endometryosis, which is basically my female reproductive internal organ slowly killing me, at least thats how it feels), whenever i end up in ER *sometimes* doctors refuse to take me in because of my transgenderism. So whenever im ill i prefer not to face any unfamiliar doctors. Tbh i used to work in sales and was assulted, and even though i filed a charge no one did anything, Since than im kind of really scared of people. So even though israel is really accepting the gay/lesbian theres still a long way with transgenders that no one talks about. Since i mpved back with my parents to my old hometown after the assult no one hires me (worked in tlv previously), and lately i feel hopless when it comes to standing on my own. I have my friends and i have a band which i hold onto dearly. But thats it. I cant see myself getting a proper job bec ill always have to face strangrs. And im terrified. Its been 2 years and i cant face my fears yet.israel claim to be the 'wokest' country in the middle east but thats a huge bluff. The gov is fine but the people themself. Theres still the harsh middle eastern brutal mentality, that you cant escape . I often think that there might be a good place for people like me, i often dream of canada, but i know, thats just it. A dream. Im sure thats also illusion. And that theres no really safe space anywhere ."
10,0.38%,"all_R_3nq3dHFyrVQyixS : I live in a very conservative area, and went to a very conservative university. A lot of people are accepting but not everyone. The fact that it is a college town with a lot of more open minded young people helps. I was able to access a lot of mental and physical health resources at my university. I hope I can find a womenÉ??s clinic whenever I move"
11,0.95%,"all_R_wOa1YKmNZsi5uIp : Job security is pretty minimal here which terrifies me. We've been trying to move, but everywhere is even more expensive than what we're paying now and we're struggling to save up as almost nothing is left after bills are paid. Crime rate is pretty low and I rarely feel targeted racially as the population mostly seems Hispanic and white, and I get assumed to be Hispanic quite often. Disability access is so-so which is discouraging because there are a lot of places I can't go if I need my chair that day. Transportation is miserable. 100% need a car unless going on the Metra (train), but then you would need a car anywhere except Chicago. Suburbia here is really isolating. I don't have local friends because I'm unable to go places to meet people or hang out with anyone I do meet. My mental health has gotten way worse, and there are very few resources I am able to utilize either due to transportation or cost."
12,0.33%,"all_R_3P6s0NGbzrKHdZI : I feel very safe in my location, and I have many great relationships. I feel that there are usually opportunities here. Some of my responses were directly linked to the COVID 19 situation. For example, I feel thereÉ??s nothing to look forward to and I am unemployed specifically because of this situation."
13 - 14,0.42%,"all_R_qWQXLdq4SUozeX7 : I live in a basement apartment in a relatively affluent area. Crime is low, pollution is low, my housing is stable as are my finances. I am extremely close with my family, but my parents and sister live about 2 hours away and I cannot see them as much as I would like. My core group of friends also live about 2 hours away now, so I also have a difficult time not seeing them as well."
15,0.35%,"all_R_tFondWUPCOXtHC9 : I live in Dallas, Texas. I am lucky in many ways. Dallas is mostly a blue city, I am a white cis female, and bisexual. I'm normally not a target of bigotry or abuse. I also having supportive parents close by. A lot of my friends do not have the things I am blessed with and I have seen their struggles and it pains me."
16,0.18%,"all_R_plWNcJQosbZwfUR : My place of residence has a positive influence on me in every way - be it social contacts, opportunities for activities or professional opportunities."
17,0.44%,"all_R_9zzxD9sMvjg5vA5 : I grew up in a conservative village, which I specified in the geographical question. I am currently there with my parents. I left home 18 months ago and moved to WÅrzburg. As a young person I feel freer and more comfortable because of the many offers. I&amp;#39;ve often felt cramped in the country. Now it&amp;#39;s okay if I keep coming back to visit. In WÅrzburg I feel safe and can go anywhere on my own."
18,0.16%,"all_R_3E9ZuHl8pRulNsd : Good infrastructural connections, close to friends and family, short commute to work, short way to university, safe area, I feel good."
19,0.58%,"all_R_3ixVxZMb4Z8uWi7 : Feel safe because of human closeness. Thanks to the proximity to the city center, friends can be reached quickly. Quick connection to ? ? PNV (outside world), quickly in parks or forests or at the lake for relaxation. A healthy lifestyle is absolutely possible in my current life situation. Proximity to the university makes the place of residence more attractive and thus increases the quality of life. I feel in my circle of friends with my sexual orientation and my opinions on life and love to 99% in good hands and for the most part supported."
20,0.54%,"all_R_ZesRPmVb3t2rGVj : I am lucky to have been born in such a privileged and safe country. I have not yet experienced any discrimination because of my identity where I live, but rather encouragement and support. Luckily, I never had to hide or pretend, I was able to live it out openly, even though I live in a very conservatively governed state, where same-sex marriages or homosexuality etc. are viewed rather suspiciously. Still, I am not punished for it, as in many other countries, and I am allowed to marry. That gives me security."
21,0.09%,"all_R_3xR3SJFbOWLsGoF : The proximity to the forest is calming, nature is good for you"
22,0.60%,"all_R_1ikgqFnGistaSQl : As a student, I have my own beautiful apartment in my study town Emden. Most of the time, however, I like to spend my time with my partner who runs a farm. I cling with heart and soul to this place - a small farm in the middle of a growing village that has everything you need: doctors, banks, shops. My own apartment in Emden is very comfortable and centrally located, but I don&amp;#39;t feel at home in the city or particularly safe in my part of town: a local resident was recently stabbed by drug addicts in the neighborhood, and garbage is often in around town."
23,0.37%,"all_R_28P81Ku5ifiID19 : I just moved. Out of a shared apartment in your own apartment - Hurray! Friends, the park (for my dog), the university and good shopping opportunities (organic shop, unpackaged shop) are nearby. Unfortunately the apartment faces north ... but the park is there! And Corona sucks. I&amp;#39;m annoyed by politics! My relationship is going great!"
24,0.32%,"all_R_2Vg56OlJcIGwyxy : I live in a student flat share with three other students with whom I get along very well. Sometimes we do something together. When my roommates are around, they make me feel safe and welcome. I live very close to the university, which is very useful for having lunch at home, for example."
